          (  56,   61) (  60,   57) (  47,   58) (  66,   56) (  57,   60) (  46,   59) (  63,   59) (  66,   55) (  45,   58) (  51,   58)
          (  51,   52) (  82,   63) (  50,   56) (  65,   54) (  38,   56) (  68,   52) (  56,   57) (  47,   63) (  70,   58) (  57,   56)
          (  58,   57) (  52,   58) (  41,   56) (  66,   56) (  59,   61) (  57,   55) (  59,   56) (  48,   58) (  64,   54) (  44,   56)
          (  71,   62) (  52,   57) (  52,   58) (  54,   55) (  54,   57) (  59,   52) (  62,   54) (  44,   52) (  64,   62) (  59,   59)
          (  53,   56) (  57,   52) (  61,   59) (  52,   56) (  53,   51) (  58,   58) (  66,   62) (  58,   50) (  53,   62) (  52,   53)
          (  55,   59) (  71,   57) (  64,   62) (  64,   69) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64)
          (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64)
          (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64)
          (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64)
          (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64)
          (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64)
          (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64)
          (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64)
          (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64)
          (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64)
          (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64)
          (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64)
          (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64)
          (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64)
